id,e_code,title,info,e_type,halal_status
157,E218,Methyl 4-hydroxybenzoate,"It is a synthetic preservative.   This chemical belongs to the family of the famous parabens.
  Component among other cosmetics and pharmacists. It is an n-propanol ester of p-hydroxybenzoic acid, sodium version. 
 A paraben is an artificial molecule whose base molecule is parahydroxybenzoic acid, a derivative of E210. 
 It exists in several foods such as barley, strawberry, black currant, some grapes, but the toxicity of this molecule would be Not at all the same than that of its derivatives.  
 The parabens are prepared by esterification of this molecule with a corresponding alcohol in the presence of an acid catalyst, such as sulfuric acid, and an excess of the specific alcohol (heptanol, ethanol, n-propanol and methanol). The acid is then neutralized with soda caustic.  
 The most commonly reported side effect is allergic. Asthma, urticaria, cutaneous-mucosal and respiratory symptoms in people sensitive or intolerant to salicylates.    But it would also be: a potential carcinogen, mutagen (in vitro) and potential neurotoxic.",Preservative,Halal
158,E219,Methyl-p-hydroxybenzoate sodium salt,"It is a synthetic preservative.   This chemical belongs to the family of the famous parabens. Component among other cosmetics and pharmacists. 
 It is an n-propanol ester of p-hydroxybenzoic acid, sodium version. 
 A paraben is an artificial molecule whose base molecule is parahydroxybenzoic acid, a derivative of E210. It exists in several foods such as barley, strawberry, black currant, some grapes, but the toxicity of this molecule would be Not at all the same than that of its derivatives.  
 The parabens are prepared by esterification of this molecule with a corresponding alcohol in the presence of an acid catalyst, such as sulfuric acid, and an excess of the specific alcohol (heptanol, ethanol, n-propanol and methanol). The acid is then neutralized with soda caustic 
 The most commonly reported side effect is allergic. Asthma, urticaria, cutaneous-mucosal and respiratory symptoms in people sensitive or intolerant to salicylates. But it would also be: a potential carcinogen, mutagen (in vitro) and potential neurotoxic.",Preservative,Halal
159,E220,Sulphur Dioxide,"It is synthetic food preservative. The E220 is a poisonous gas with an irritating and suffocating odor that is released by volcanoes and various industrial processes. 
 It can be manufactured among other methods by combustion of sulfur, hydrogen sulfide and roasting of sulfide minerals. 
 The transformed food can use this pure gas (E220) or a combination of sulphurous acids with sodium, potassium or calcium to form the sulphites. ( E221, E222, E223, E224, E225, E226, E227, 228) 
 People who are very sensitive, allergic, asthmatic or intolerant sulphites are exposed to various mucocutaneous and respiratory symptoms, such as urticaria, asthma and, more rarely, anaphylaxis. 
 In low doses causes irritation in the digestive tract and inactivates Vitamin B. In the long term regular consumption could produce vitamin deficiency (deficiency of vitamins in the body). 
 In large doses can cause headaches, nausea, vomiting, allergy, bronchial irritation and asthma.",Preservative,Halal
160,E221,Sodium Sulphite,"Sodium salt of sulphurous acid. It is a white, non-stable powder, which reacts with oxygen to form sodium sulphate. 
 In acidic conditions it forms sulphurous acid, a preservative. It is used as a preservative as well as oxidising and bleaching agent to prevent spoilage and discoloration. In meat it prevents browning; however, it is not allowed in meat products, as it may mask bacterial spoilage characterized by discoloration. It is also used as a bread enhancer, by dint of its action in improving the kneading capacity of the bread. 
 It is found in Egg-yolk and products with egg-yolk, salads, beer, bread, caramel. As a decontaminating agent in fresh orange juice, and during sugar refining. 
 People who are very sensitive, allergic, asthmatic or intolerant sulphites are exposed to various mucocutaneous and respiratory symptoms, such as urticaria, asthma and, more rarely, anaphylaxis.   In large doses can cause headaches, nausea, vomiting, allergy, bronchial irritation and asthma. 
The consumption of fresh meat packed with this additive is not recommended because it could mask the loss of color caused by the bacterial deterioration, although the law allows its use.",Preservative,Halal
161,E222,Sodium hydrogen sulphite,"It is a synthetic food preservative. It is derived from the combustion of minerals with sulfur. It is used to prevent enzymes, bacteria and prevent discoloration of the food. 
 In bakery it is used to improve the bread kneading capacity. 
 People who are very sensitive, allergic, asthmatic or intolerant sulfites are exposed to various mucocutaneous and respiratory symptoms, such as urticaria, asthma and, more rarely, anaphylaxis. 
In large doses can cause headaches, nausea, vomiting, allergy, bronchial irritation and asthma.",Preservative,Halal
162,E223,Sodium Metabisulphite,"It is a synthetic food preservative. It is derived from the combustion of minerals with sulfur. It is used to prevent enzymes, bacteria and prevent discoloration of the food. 
 In bakery it is used to improve the bread kneading capacity. 
 People who are very sensitive, allergic, asthmatic or intolerant sulfites are exposed to various mucocutaneous and respiratory symptoms, such as urticaria, asthma and, more rarely, anaphylaxis. 
In large doses can cause headaches, nausea, vomiting, allergy, bronchial irritation and asthma.",Preservative,Halal
163,E224,Potassium Metabisulphite,"It is a synthetic food preservative. It is derived from the combustion of minerals with sulfur. It is used to prevent enzymes, bacteria and prevent discoloration of the food. 
 In bakery it is used to improve the bread kneading capacity. People who are very sensitive, allergic, asthmatic or intolerant sulfites are exposed to various mucocutaneous and respiratory symptoms, such as urticaria, asthma and, more rarely, anaphylaxis. 
In large doses can cause headaches, nausea, vomiting, allergy, bronchial irritation and asthma.",Preservative,Halal
164,E225,Potassium sulfite,"It is a synthetic food preservative. It is derived from the combustion of minerals with sulfur. 
 It is used to prevent enzymes, bacteria and prevent discoloration of the food. 
 In bakery it is used to improve the bread kneading capacity. 
 A gastric irritant. Destroys vitamins B and E. Due to its possible adverse effects its not recommended for consumption by children In large doses can cause headaches, nausea, vomiting, allergy, bronchial irritation and asthma. ",Preservative,Halal
165,E226,Calcium Sulphite,"It is synthetic food preservative. It is derived from the combustion of minerals with sulfur. 
 It is used to prevent enzymes, bacteria and prevent discoloration of the food. 
 In bakery it is used to improve the bread kneading capacity.   People who are very sensitive, allergic, asthmatic or sulphite intolerant are exposed to various mucocutaneous and respiratory symptoms, such as urticaria, asthma and, more rarely, anaphylaxis. 
 In large doses can cause headaches, nausea, vomiting, allergy, bronchial irritation and asthma.",Preservative,Halal
166,E227,Calcium Hydrogen Sulphite,"It is synthetic food preservative. It is derived from the combustion of minerals with sulfur. It is used to prevent enzymes, bacteria and prevent discoloration of food. 
 In bakery it is used to improve the bread kneading capacity. 
 People who are very sensitive, allergic, asthmatic or sulphite intolerant are exposed to various mucocutaneous and respiratory symptoms, such as urticaria, asthma and, more rarely, anaphylaxis. 
 In large doses can cause headaches, nausea, vomiting, allergy, bronchial irritation and asthma. 
 The consumption of fresh meat packed with this additive is not recommended because it could mask the loss of color caused by the bacterial deterioration, although the law allows its use.",Preservative,Halal
167,E228,Potassium hydrogen sulphite,"It is synthetic food preservative. It is derived from the combustion of minerals with sulfur. It is used to prevent enzymes, bacteria and prevent discoloration of the food. 
 In bakery it is used to improve the bread kneading capacity. 
 People who are very sensitive, allergic, asthmatic or sulphite intolerant are exposed to various mucocutaneous and respiratory symptoms, such as urticaria, asthma and, more rarely, anaphylaxis. 
 In large doses can cause headaches, nausea, vomiting, allergy, bronchial irritation and asthma. 
 The consumption of fresh meat packed with this additive is not recommended because it could mask the loss of color caused by the bacterial deterioration, although the law allows its use.",Preservative,Doubtful
168,E230,Biphenyl / Diphenyl,"It is a synthetic food preservative.   It is obtained by distillation of coal tar, crude oil or natural gas. 
 It is used to prevent mold and mildew. 
 The mutagenic and carcinogenic effects observed in animals and reported by the RTECS, penetrate the treated fruits and are not eliminated by a simple wash, they consume untreated citrus fruits. 
 In low doses causes allergy, nausea, vomiting and eye irritation. Not recommended for consumption by children due to its possible adverse effects  
  Its main application are non-organic citrus.",Preservative,Halal
169,E231,2-Hydroxybiphenyl,"It is a synthetic food preservative.   
 It is used to prevent mold and mildew. Anti-mildew preservative used on the surface of non-organic citrus fruits Penetrates into fruits and would not be removed with a simple wash. 
 It is used as a pesticide on the skin of citrus fruits, apples, pears and bananas. The skin of the fruits treated with this additive should not be consumed and it is preferable to wash hands before eating from inside. It does not disappear when washed with water. 
 Sometimes fruits are also submerged in a liquid solution, which slowly penetrates their skin and therefore may also be present inside the fruit. 
 It is also used in medicines Valsartan and Telmisartan against hypertension.   In low doses causes allergy, nausea, vomiting and eye irritation. 
 Its main application are non-organic citrus.",Preservative,Halal
170,E232,Phenylphenol sodium salt,"It is a synthetic food preservative.   
 It is used to prevent mold and mildew. Anti-mildew preservative used on the surface of non-organic citrus fruits Penetrates into fruits and would not be removed with a simple wash. 
 It is used as a pesticide on the skin of citrus fruits, apples, pears and bananas. The skin of the fruits treated with this additive should not be consumed and it is preferable to wash hands before eating from inside. It does not disappear when washed with water. 
 Sometimes fruits are also submerged in a liquid solution, which slowly penetrates their skin and therefore may also be present inside the fruit. 
 It is also used in medicines Valsartan and Telmisartan against hypertension.   In low doses causes allergy, nausea, vomiting and eye irritation. 
 Its main application are non-organic citrus.",Preservative,Halal
171,E233,2-(Thiazol-4-yl)benzimidazole,"It is a synthetic food preservative. It is used to prevent mold and mildew. 
 Artificial pesticide used in non-organic fruits and vegetables (the highest doses are for citrus fruits, avocados, mushrooms in layers and storage potatoes). 
 It no longer has the status of a food additive, but it is still widely used as an anti-mold pesticide.   
 Carcinogenic safety not excluded: The Association for Therapeutic Research Against Cancer includes thiabendazole as a potential carcinogen, enters the treated foods and is not eliminated by simple washing. 
 Be careful with jams, jams and fruit juices (especially the sick and children).",Preservative,Halal
172,E234,Nisin,"It is a synthetic food preservative. It is used to prevent fungi, spores and microbes. 
 A small antibacterial protein produced by the bacteria Streptococcus lactis or Lactococcus lactis, which occurs naturally in the intestine of humans and in many mammals. 
 Commercially, the substance is or can be transgenic.   Its natural antibiotic action could, by frequent ingestion, cause insensitivity to antibiotics.",Preservative,Doubtful
173,E235,Pimaracin,"It is synthetic food preservative. It is used to prevent fungi, spores and microbes. 
Antibiotic molecule derived from the microorganisms Streptomyces natalensis used for a variety of fungal infections, mainly locally, and as a non-organic dietary additive. 
 The use, at the discretion of the producer, of transgenic microorganisms is possible.",Preservative,Doubtful
174,E236,Formic acid,"It is a synthetic food preservative. It is used to prevent bacteria. 
 Formic acid is a component of the defensive secretions of many Hymenoptera (including the ants from which it derives its name) and the pungent composition of nettles; It is also found to a lesser extent or in small amounts in some fruits and vegetables, honey, certain leaves and roots. 
 Pure formic acid is a smoky, colorless liquid with a penetrating odor, with a possible olfactory detection of 0.024 parts per million (ppm). 
 It is synthesized commercially in various ways, especially from carbon monoxide. This corrosive and potentially dangerous acid in pure form can be presented as harmless. 
 However, laboratory experiments have shown a mutagenic effect, and it is among the probably carcinogenic additives of the Association for Therapeutic Research Against Cancer. 
 It is also used in livestock fodder and in poultry to prevent E-Coli bacteria.",Preservative,Halal
175,E237,Sodium formate,"Commercially synthesised from sodium hydroxide and carbon monoxide. Present naturally as formic acid Used as a preservative against microorganisms. 
 Fruit juices, non-alcoholic drinks, preserved vegetables, etc. Acceptable Daily Intake is upto 3 mg/kg body weight.",Preservative,Halal
176,E238,Formic acid calcium salt,"It is a synthetic food preservative. It is used to prevent bacteria. A derivative of E236 (formic acid) is obtained. 
 Formic acid is a component of the defensive secretions of many Hymenoptera (including the ants from which it derives its name) and the pungent composition of nettles; It is also found to a lesser extent or in small amounts in some fruits and vegetables, honey, certain leaves and roots. 
 Pure formic acid is a smoky, colorless liquid with a penetrating odor, with a possible olfactory detection of 0.024 parts per million (ppm). 
 It is synthesized commercially in various ways, especially from carbon monoxide. This corrosive and potentially dangerous acid in pure form can be presented as harmless. 
 However, laboratory experiments have shown a mutagenic effect, and it is among the probably carcinogenic additives of the Association for Therapeutic Research Against Cancer. 
 It is also used in livestock fodder and in poultry to prevent E-Coli bacteria.",Preservative,Halal
177,E239,Hexamine,"It is synthetic food preservative. It is used to prevent bacteria. 
 Chemical product obtained by the action of ammonia on formaldehyde. 
 Its ability to release antibacterial formaldehyde has led the pharmaceutical industry to use it as an anti-infective agent in the treatment of the urinary tract (due to the slow release of formaldehyde by acid hydrolysis).  
 In large doses caused genetic mutations. In the long term it could be carcinogenic.",Preservative,Halal
178,E240,Formaldehyde,"It is synthetic food preservative. It is used to prevent bacteria and fungi. 
 It is a highly reactive gas found in the incomplete combustion of carbonaceous substances or hydrocarbons, found in the smoke of forest fires, car emissions and tobacco smoke. It is produced industrially by oxidation of methanol. Gaseous formaldehyde is not commercially available. 
 In the vast majority of cases, it is produced and sold as aqueous solutions containing 25 to 56% formaldehyde and 0.5 to 15% methanol.  
 It has been confirmed by the International Agency for Research on Cancer (IARC) that causes nasopharyngeal cancer in humans. Prohibited in most countries.",Preservative,Doubtful
179,E241,Gum guaicum,"It is a synthetic food preservative. E241 is extracted from the Guaiacum officinale and Guaiacum santum trees that originate in the tropical and subtropical regions of the Americas. 
 Its constituents are approximately 70% of alpha and beta-guaiaconic acids, approximately 11% of guaiac acid, related components and gaiarético acid, 15% of vanillin, guaiacan yellow and guaiacan saponina (guaïacine).  
 Since 2017, E241 is no longer included in the Codex Alimentarius, it is often presented as a synonym of 'Guaiac Resin', which remains Codex as an antioxidant on that date. 
 Chewing gum or guaiac resin is included as a food additive in the United States and Canada in particular.",Preservative,Doubtful
180,E242,Dimethylcarbonate,"It is a synthetic food preservative. Synthetic antiseptic preservative. It is obtained through the synthesis of methyl ester of   Chloroformic acid. 
 It is used to sterilize beverage containers. As it is not added directly to the drink it is considered a technical aid additive and it is not mandatory to indicate its use on the label. It is used to prevent yeast. 
 This additive in alcoholic beverages, where it decomposes quickly in toxic methanol.   It is listed in California (United States) as a known carcinogen.",Preservative,Doubtful
181,E243,ethyl lauroyl arginate,"It is a synthetic food preservative.  Synthetic antimicrobial preservative.   It is derived from the combination of the natural compounds Ethanol, Lauric Acid and Arginine. 
 It is synthesized by esterification of Arginine with Ethanol, followed by a reaction of said ester with Lauroil Chloride, then the obtained Ethyl Lauroil Arginate is recovered as Hydrochloride Salt, which passes a filtering, drying process and finally takes place in the form of white powder. 
 It is used to inhibit the proliferation of harmful bacteria, fungi, yeasts and microorganisms without creating genetic resistance on the part of the pathogens towards the additive.   
 In Europe, it is used in meat products. In the United States, it is used in grac variety of foods, both meats and other products.",Preservative,Doubtful
182,E249,Potassium Nitrate,"It is synthetic food preservative. It is used to prevent bacteria and microbes. 
 Nitrites are the potassium salts of nitrous acid, an important element of air pollution. 
 They are also products of the degradation of nitrates in the body (stomach, saliva).  
 Nitrites are probably carcinogenic to humans at the International Agency for Research on Cancer, and they are certainly carcinogenic for the Association for Therapeutic Research Against Cancer.",Preservative,Halal
183,E250,Sodium Nitrite,"It is synthetic food preservative. It is obtained by synthesis of sodium hydroxide with mixtures of nitrous oxide and nitric oxide. It is used to prevent bacteria and microbes. Nitrites are the sodium or potassium salts of nitrous acid, an important element of air pollution. 
 They are also products of the degradation of nitrates in the body (stomach, saliva). Nowadays, sodium nitrite is obtained as a byproduct of the nitric acid industry. Potassium nitrite can be obtained by reducing potassium nitrate. 
 Nitrites are probably carcinogenic to humans at the International Agency for Research on Cancer, and they are certainly carcinogenic to the Association for Therapeutic Research Against Cancer. In sensitive or exposed persons: migraines, nausea, vomiting, dizziness, gastrointestinal disorders, vasodilatory effects, hypertension, reactions to histamine, cutaneous-mucous symptoms.   
 Its use is not allowed in products aimed at children of 6 months since they have a different type of hemoglobin, which is much more reactive than normal hemoglobin.",Preservative,Halal
184,E251,Sodium Nitrate,"It is a synthetic food preservative.  Used as a preservative in processed meat products such as sausages and ham, as well as artificially smoked fish.  
 It is used to prevent bacteria and microbes. 
 Sodium nitrate is known as nitrate from Chile or Peru because of its abundance in these countries and to distinguish it from potassium nitrate from common saltpeter. 
 It is manufactured according to several synthetic processes, especially from nitric acid. It is widely used in agriculture as a fertilizer. 
  In the 1800s and early 1900s, sodium nitrate was used in the manufacture of gunpowder. It is still used today in fireworks, solid rocket fuels, in wastewater treatment and as a food preservative.  
 Nitrates are also used as fertilisers, and leach into watercourses, then subsequently into our drinking water. 
 Not recommended for consumption by children due to its possible adverse effects by most health authorities.",Preservative,Halal
185,E252,Potassium nitrate,"It is a synthetic food preservative. It is used to prevent bacteria and microbes. 
 Known since the Middle Ages under the name of saltpeter, with the appearance of white and fluffy fibers, it is found among other limestone caves that harbor bats and other creatures, in ancient cellars or damp houses (bacteria fed ammonia from soil water), in the guano. 
 Saltpeter has a long history in the manufacture of gunpowder. It is also one of the oldest meat preservatives. 
  It reacts and produces nitrite and then nitric oxide, which transforms red myoglobin into a pink dye typical of ham, salami and canned meat in which it is injected. 
 Nitrates and nitrites are probably classified as carcinogenic to humans at the International Agency for Research on Cancer and certainly are carcinogenic to the Association for Therapeutic Research Against Cancer.",Preservative,Doubtful
186,E260,Acetic Acid,"It  is a natural preservative and acidulant or sometimes synthetic food. It is used to prevent bacteria and fungi. 
 It is one of the oldest food preservatives, is the well-known active principle of vinegar at a concentration of almost 5%, the latter is formed when ethanol (or pure alcohol) undergoes a bacterial fermentation. 
A variety of animal and vegetable tissues contain small amounts of acetic acid. In practice, acetic acid is not prepared by fermentation of alcoholic juices.   
 The pyrolysis or distillation of wood was widely used at the beginning of the 20th century, but today this method would be supplanted largely by the carbonylation of methanol.  
  In more concentrated doses it can be corrosive to the digestive system and the bronchi.",Preservative,Doubtful
187,E261,Potassium Acetate,"It is a preservative and synthetic food acidulant. It is used to prevent bacteria and fungi. Acetates are the salts of acetic acid E260, which chemically bind to the latter with potassium, sodium, calcium, ammonia or zinc to form acetates E261 to E264 and E650.   
 Typically found in such products as sauces and pickles. Also used as a fabric conditioning agent, and in the manufacture of penicillin. 
 In more concentrated doses it can be corrosive to the digestive system and the bronchi. Should be avoided by people with impaired kidney function as it is known to be a diuretic",Preservative - Acids,Halal
188,E262,Sodium acetate,"It is a preservative and synthetic food acidulant. It is used to prevent bacteria and fungi. The acetates are the salts of acetic acid, which are chemically bound to the latter with potassium, sodium, calcium, ammonia or zinc to form the acetates E261 to E264 and E650.  
 In more concentrated doses it can be corrosive to the digestive system and the bronchi. ", Preservative - Acids,Halal
189,E263,Calcium Acetate,"It is a preservative and synthetic food acidulant. It is used to prevent bacteria and fungi. The acetates are the salts of acetic acid, which are chemically bound to the latter with potassium, sodium, calcium, ammonia or zinc to form the acetates E261 to E264 and E650.   
 In more concentrated doses it can be corrosive to the digestive system and the bronchi.",Preservative - Acids,Halal
190,E264,Ammonium acetate,"It is a preservative and synthetic food acidulant. It is used to prevent bacteria and fungi. 
 The acetates are the salts of acetic acid, which are chemically bound to the latter with potassium, sodium, calcium, ammonia or zinc to form the acetates E261 to E264 and E650.   
 In more concentrated doses it can be corrosive to the digestive system and the bronchi.",Preservative - Acids,Halal
191,E265,Dehydroacetic acid,"It is a synthetic food preservative.  Currently (2018) very few toxicological data are available for the substance in the processed diet. 
 Uses are reported in cut or peeled pumpkin preparations, pickles, strawberries and even other processed fruits and vegetables.   
 Attention, strawberries, with grapes, are part of the processed diet of very harmful treated fruits. Buy these fruits in organic.   
 The dehydroacetic acid and / or its salt, sodium dehydroacetate, are also used in the parapharmacy products, in the so-called anti-enzyme toothpastes, as preservatives in cosmetics, as plasticizers for synthetic resins.",Preservative - Acids,Doubtful
192,E266,Sodium dehydroacetate,"It is a synthetic food preservative.  Currently (2018) very few toxicological data are available for the substance in the processed diet. 
 Uses are reported in cut or peeled pumpkin preparations, pickles, strawberries and even other processed fruits and vegetables.   
 Attention, strawberries, with grapes, are part of the processed diet of very harmful treated fruits. Buy these fruits in organic.   
 The dehydroacetic acid and / or its salt, sodium dehydroacetate, are also used in the parapharmacy products, in the so-called anti-enzyme toothpastes, as preservatives in cosmetics, as plasticizers for synthetic resins.",Preservative - Acids,Doubtful
193,E270,Lactic Acid,"As a food additive it increases the antioxidant properties of other substances and can be used to add a bitter taste. All fermented foods are very rich in lactic acid. 
 Commercially produced by bacterial fermentation on starch and molasses. 
 Also produced in large amounts in the large intestine by the resident bacteria. It is the commonest acidic constituent of fermented milk products such as sour milk, cheese, and buttermilk. 
 Also used in carbonated drinks, jams, jellies, soft margarine, marmalade, infant milks and cereals, pickled red cabbage, salad dressings, sweets, tartare sauce and many tinned products, such as babyfoods, mackerel, pears, sardines, strawberries and tomatoes.",Preservative - Acids,Doubtful
194,E280,Propionic acid,"It is a natural or synthetic food preservative. It is obtained naturally by fermentation of wood pulp or synthetically by oxidation of Propanal.   
 According to the sources consulted, propionic acid is harmless or doubtful if it is not toxic. In fact, it is sometimes reported as a controversial additive.   
 In particular, it has been banned in Germany (and subsequently reintroduced by the European Union). Too much propanoic acid may be the cause of some cases of regressive autism. 
 Injected into the brain of rats, it causes reversible neurological disorders, such as tics, hyperactivity and instability.",Preservative - Acids,Doubtful
195,E281,Sodium Propionate,"It is a synthetic food preservative. Obitene derived from Propionic Acid (E280). Propionic acid is a clear liquid with the unpleasant odor characteristic of sweat. 
 Bacteria in the sebaceous or sweat glands produce propionic acid. 
 Too much propanoic acid may be the cause of some cases of regressive autism. Injected into the brain of rats, it causes reversible neurological disorders, such as tics, hyperactivity and instability. ",Preservative- Acids,Doubtful
196,E282,Calcium Propionate,"It is a synthetic food preservative. Obitene derived from Propionic Acid (E280). Propionic acid is a clear liquid with the unpleasant odor characteristic of sweat. Bacteria in the sebaceous or sweat glands produce propionic acid. 
 Too much propanoic acid may be the cause of some cases of regressive autism. 
 Injected into the brain of rats, it causes reversible neurological disorders, as tics, hyperactivity and instability.",Preservative - Acids,Doubtful
197,E283,Potassium propionate,"It is a synthetic food preservative. Obitene derived from Propionic Acid (E280). Propionic acid is a clear liquid with the unpleasant odor characteristic of sweat. Bacteria in the sebaceous or sweat glands produce propionic acid. 
 Too much propanoic acid may be the cause of some cases of regressive autism. 
 Injected into the brain of rats, it causes reversible neurological disorders, as tics, hyperactivity and instability.",Preservative - Acids,Doubtful
198,E284,Boric acid,"It is a synthetic food preservative.   Substance manufactured by treatment of borax (sodium borate and E285) with a strong mineral acid such as hydrochloric or sulfuric acid.   
 In the United States, boric acid is manufactured mainly from sodium borate minerals, while in Europe it is made from colemanite (a borate mineral hydrated with calcium) imported from Turkey. 
 The substance is reprotoxic (it is harmful to fertility and to the fetus, it is also found in breast milk in humans), probably carcinogenic, mutagenic and teratogenic in animals and is suspected in humans. 
 The use in the form of lotions and powders can have caused serious poisonings and deaths.",Preservative,Doubtful
199,E285,Sodium tetraborate,"It is a synthetic food preservative. Substance manufactured by borax treatment with a strong mineral acid such as hydrochloric or sulfuric acid. 
 In the United States, boric acid is manufactured mainly from sodium borate minerals, while in Europe it is made from colemanite (a borate mineral hydrated with calcium) imported from Turkey. 
 The substance is reprotoxic (it is harmful to fertility and to the fetus, it is also found in breast milk in humans), probably carcinogenic, mutagenic and teratogenic in animals and is suspected in humans.   
 The use in the form of lotions and powders would have caused serious poisonings and deaths.    According to the World Health Organization (WHO) is unacceptable as a food additive although it is still used by some manufacturers. 
 The boric ions oppose the synthesis of glutamine in the brain. In recent studies, its high consumption over a period of 5 to 10 years caused liver cancer in humans.",Preservative,Doubtful
200,E290,Carbon Dioxide,"It is a packaging gas, propellant and acidulant. E290 is a colorless and odorless gas, specially formed in the body and necessary in the breathing cycle of plants and animals. 
 There would be little or no information on the manufacture of carbon dioxide for food purposes, it could be manufactured by fermentation. Otherwise, carbon dioxide can be obtained as a byproduct of many industrial processes: the synthetic production of ammonia, hydrogen, the production of natural gas substitution, fermentation and calcination of limestone. 
 Most of the sources consulted do not report known side effects in the diet, but could slow digestion to avoid if possible.",Miscellaneous,Halal
201,E296,Malic Acid,"It is a natural or synthetic food acidulant. Malic acid is very widespread in the vegetable kingdom and is present naturally in apples, pears and grape juice in particular. The human body produces some too.  
 In large doses it can cause digestive problems in children and infants since they lack the ability to metabolize malic acid.   
 Therefore, it is not allowed to add high concentrations in foods for children.",Preservative - Acids ,Halal
202,E297,Fumaric Acid,"It is a natural or synthetic food acidulant. Natural or synthetic acid. 
 It is obtained naturally by fermentation of sugar with fungi or synthetically by catalytic isomerization of Maleic Acid. 
 It is also used to prevent microbes. The sources consulted report an innocuous additive.",Preservative- Acids ,Halal
203,E300,Ascorbic acid (Vitamin C),"It is a natural or synthetic food antioxidant. Ascorbic acid exists in 4 forms of which only one is vitamin C: L-ascorbic acid. The other forms are D-ascorbic acid, D-isoascorbic acid (E315) and L-isoascorbic acid. 
 These forms have little or no vitamin value, and potentially toxic in high doses. DL-ascorbic acid is also produced and distributed frequently in pharmacies such as vitamin C. 
 The commercial version of L-ascorbic acid is not extracted naturally from carrier foods (fruits, vegetables), but  is biosynthesized by the bacteriological fermentation of D-glucose, from which genetic engineering is found, among others , possible.    
 The sources consulted report shared but positive results in general:  there would be no disadvantages in moderate doses according to some sources, while for others, L-ascorbic acid is harmless or harmless in high doses.",Antioxidants,Doubtful
204,E301,Sodium-L-Ascorbate,It is a natural or synthetic food antioxidant. Ascorbates are the salts of ascorbic acid. A bond with sodium allows the manufacture of sodium ascorbates E301. No side effects have been found.,Antioxidants,Halal
205,E302,Calcium-L-Ascorbate,"It is a synthetic food antioxidant. Ascorbates are the salts of ascorbic acid. A calcium bond allows the manufacture of calcium ascorbate E302. No side effects have been found. 
 Sometimes it is believed that the calcium that binds can come from bones. But sometimes it can come from a mineral form.",Antioxidants,Halal
206,E303,Potassium ascorbate,"It is a synthetic food antioxidant. Ascorbates are the salts of ascorbic acid. A link with potassium allows to manufacture potassium ascorbates E303. 
 It is used in meat products to prevent the formation of nitrosamines and in other products. No side effects have been found.",Antioxidants,Halal
207,E304,Ascorbyl Palmitate,"It is a synthetic food antioxidant. Palmitoate and ascorbyl stearate are esters of L-ascorbic acid (Vit C) made with palmitic acid and stearic acid, respectively.  
  They are reported as a fat-soluble form of vitamin C. There are different ways of making these ascorbyls, mostly if not completely by biosynthesis, from which a transgenic application seems possible. 
 It is used in meat products to prevent the formation of nitrosamines and in other products. 
 No side effects have been found. Most of the sources consulted do not report any danger.",Antioxidants,Doubtful
208,E305,Ascorbyl stearate,antioxidant,antioxidant,Doubtful
209,E306,Tocopherol concentrate,"It  is a natural antioxidant food. Tocopherols are, along with tocotrienols, the isomeric constituents of vitamin E, and they are eight in number. 
 It is obtained from sources such as wheat germ, sunflower and safflower oil. 
 The dominant and most effective constituent is alpha-tocopherol, and is often referred to as vitamin E or tocopherol. 
 Now it is known that the activity of the vitamin and the antioxidant is not limited to alpha-tocopherol alone. 
 Being insoluble in water, it is only used in fatty foods. It is used to prevent the oxidative degradation of lipids. 
 It is harmless according to the vast majority of sources consulted.",Antioxidants- Vitamin E,Halal
210,E307,Alpha-tocopherol,"It is a synthetic food antioxidant. Tocopherols are, along with tocotrienols, the isomeric constituents of vitamin E, and they are eight in number. 
 It is obtained from sources such as wheat germ, sunflower and safflower oil.   The dominant and most effective constituent is alpha-tocopherol, and is often referred to as vitamin E or tocopherol. 
 Now it is known that the activity of the vitamin and the antioxidant is not limited to alpha-tocopherol alone. 
 Being insoluble in water, it is only used in fatty foods. It is used to prevent the oxidative degradation of lipids. 
 It is harmless according to the vast majority of sources consulted.",Antioxidants,Halal
211,E308,Synthetic Gamma-Tocopherol,"It is a synthetic food antioxidant. Tocopherols are, along with tocotrienols, the isomeric constituents of vitamin E, and they are eight in number.  It is obtained from sources such as wheat germ, sunflower and safflower oil.   
 The dominant and most effective constituent is alpha-tocopherol, and is often referred to as vitamin E or tocopherol. Now it is known that the activity of the vitamin and the antioxidant is not limited to alpha-tocopherol alone. 
 Being insoluble in water, it is only used in fatty foods. It is used to prevent the oxidative degradation of lipids.    ",Antioxidants,Halal
212,E309,Delta Tocopherol,"It is a synthetic food antioxidant. Tocopherols are, along with tocotrienols, the isomeric constituents of vitamin E, and they are eight in number. It is obtained from sources such as wheat germ, sunflower and safflower oil.   
 The dominant and most effective constituent is alpha-tocopherol, and is often referred to as vitamin E or tocopherol. 
 Now it is known that the activity of the vitamin and the antioxidant is not limited to alpha-tocopherol alone. 
 Being insoluble in water, it is only used in fatty foods. It is used to prevent the oxidative degradation of lipids. The E309 is harmless according to the vast majority of sources consulted.",Antioxidants,Halal
